,C0,C0s,C1,C1s,C1_p1,C1_p1s,C1_p2,C1_p2s,C1_p3,C1_p3s,C1_p4,C1_p4s,C1_p5,C1_p5s,C1_p6,C1_p6s,C1_p7,C1_p7s,C1_p8,C1_p8s,C1_p9,C1_p9s,C1_p10,C1_p10s
gene_521,32,M,16.833,L,16.833,L,96.872,H,16.833,L,16.833,L,22.037,LM,24.258,LM,16.833,L,16.833,L,16.833,L,16.833,L
gene_522,46,M,61.972,M,61.972,M,61.972,M,61.972,M,61.972,M,61.972,M,61.972,M,61.972,M,73.699,MH,61.972,M,61.972,M
gene_523,52,M,87.841,H,27.23,LM,87.841,H,87.841,H,87.841,H,70.411,MH,87.841,H,87.841,H,87.841,H,87.841,H,87.841,H
gene_524,59,M,28.876,LM,28.876,LM,18.805,L,28.876,LM,49.327,M,28.876,LM,28.876,LM,28.876,LM,28.876,LM,28.876,LM,16.175,L
gene_525,35,M,88.248,H,88.248,H,88.248,H,24.522,LM,88.248,H,88.248,H,73.433,MH,75.343,MH,22.923,LM,88.248,H,88.248,H
gene_526,46,M,0.525,L,0.525,L,0.525,L,0.525,L,0.525,L,0.525,L,99.521,H,0.525,L,0.525,L,0.525,L,0.525,L
gene_527,55,M,23.595,LM,23.595,LM,5.795,L,23.595,LM,23.595,LM,23.595,LM,23.595,LM,7.297,L,23.595,LM,23.595,LM,23.595,LM
gene_528,33,M,26.33,LM,26.33,LM,26.33,LM,45.002,M,26.33,LM,26.33,LM,5.328,L,26.33,LM,26.33,LM,26.33,LM,26.33,LM
gene_529,47,M,28.028,LM,6.361,L,28.028,LM,1.02,L,28.028,LM,28.028,LM,28.028,LM,28.028,LM,28.028,LM,28.028,LM,28.028,LM
gene_530,44,M,18.716,L,18.716,L,18.716,L,18.716,L,18.716,L,58.928,M,70.168,MH,18.716,L,18.716,L,18.716,L,18.716,L
gene_531,67,M,96.737,H,96.737,H,96.737,H,96.737,H,96.737,H,96.737,H,96.737,H,96.737,H,96.737,H,96.737,H,96.737,H
gene_532,32,M,2.763,L,2.763,L,2.763,L,2.763,L,2.763,L,77.35,MH,2.763,L,2.763,L,2.763,L,2.763,L,81.18,H
gene_533,46,M,2.415,L,2.415,L,2.415,L,2.415,L,2.415,L,26.531,LM,43.958,M,2.415,L,87.409,H,86.28,H,2.415,L
gene_534,46,M,78.6,MH,78.6,MH,78.6,MH,78.6,MH,78.6,MH,78.6,MH,78.6,MH,78.6,MH,78.6,MH,12.296,L,78.6,MH
gene_535,59,M,10.954,L,10.954,L,10.954,L,10.954,L,10.954,L,98.928,H,96.765,H,10.954,L,48.256,M,55.515,M,10.954,L
gene_536,42,M,72.274,MH,72.274,MH,72.274,MH,9.649,L,72.274,MH,13.914,L,72.274,MH,72.274,MH,72.274,MH,72.274,MH,72.274,MH
gene_537,38,M,20.081,LM,7.129,L,20.081,LM,20.081,LM,20.081,LM,76.276,MH,20.081,LM,20.081,LM,20.081,LM,20.081,LM,97.204,H
gene_538,41,M,20.464,LM,99.297,H,8.309,L,20.464,LM,20.464,LM,20.464,LM,20.464,LM,20.464,LM,5.242,L,20.464,LM,20.464,LM
gene_539,48,M,1.333,L,1.333,L,78.035,MH,62.025,M,77.467,MH,1.333,L,1.333,L,1.333,L,80.501,H,1.333,L,80.434,H
gene_540,68,M,85.693,H,85.693,H,43.376,M,85.693,H,85.693,H,85.693,H,85.693,H,85.693,H,85.693,H,9.087,L,65.018,M
gene_541,61,M,15.82,L,15.82,L,89.888,H,15.82,L,26.145,LM,15.82,L,74.871,MH,15.82,L,68.603,M,15.82,L,15.82,L
gene_542,41,M,28.445,LM,97.092,H,28.445,LM,46.047,M,28.445,LM,28.445,LM,28.445,LM,40.617,M,73.88,MH,28.445,LM,36.716,M
gene_543,52,M,86.644,H,86.644,H,86.644,H,44.065,M,86.644,H,86.644,H,86.644,H,86.644,H,15.955,L,86.644,H,86.644,H
gene_544,57,M,6.143,L,82.868,H,70.841,MH,6.143,L,75.637,MH,6.143,L,6.143,L,28.391,LM,6.143,L,20.321,LM,6.143,L
gene_545,61,M,91.567,H,31.979,M,91.567,H,91.567,H,91.567,H,91.567,H,91.567,H,28.783,LM,91.567,H,41.737,M,91.567,H
gene_546,47,M,87.46,H,22.626,LM,87.46,H,87.46,H,87.46,H,87.46,H,87.46,H,87.46,H,87.46,H,87.46,H,87.46,H
gene_547,45,M,72.986,MH,72.986,MH,72.986,MH,72.986,MH,81.461,H,52.263,M,72.986,MH,72.986,MH,72.986,MH,72.986,MH,72.986,MH
gene_548,60,M,24.821,LM,24.821,LM,24.821,LM,24.821,LM,24.821,LM,1.195,L,73.354,MH,24.821,LM,24.821,LM,24.821,LM,24.821,LM
gene_549,47,M,86.311,H,86.311,H,86.311,H,86.311,H,2.145,L,86.311,H,61.389,M,86.311,H,86.311,H,86.311,H,86.311,H
gene_550,39,M,45.729,M,45.729,M,45.729,M,26.515,LM,45.729,M,45.729,M,45.729,M,45.729,M,45.729,M,45.729,M,45.729,M
gene_551,48,M,23.833,LM,23.833,LM,23.833,LM,76.165,MH,96.302,H,23.833,LM,23.833,LM,23.833,LM,52.874,M,23.833,LM,23.833,LM
gene_552,67,M,84.386,H,84.386,H,84.386,H,84.386,H,84.386,H,84.386,H,84.386,H,84.386,H,84.386,H,84.386,H,84.386,H
gene_553,35,M,27.459,LM,27.459,LM,76.109,MH,27.459,LM,27.459,LM,27.459,LM,27.459,LM,27.459,LM,27.459,LM,89.582,H,27.459,LM
gene_554,48,M,21.334,LM,21.334,LM,7.836,L,21.334,LM,21.334,LM,21.334,LM,97.507,H,21.334,LM,21.334,LM,91.167,H,99.147,H
gene_555,55,M,83.118,H,83.118,H,83.118,H,78.181,MH,83.118,H,83.118,H,58.91,M,83.118,H,83.118,H,83.118,H,74.63,MH
gene_556,49,M,52.043,M,89.217,H,52.043,M,52.043,M,52.043,M,52.043,M,52.043,M,25.71,LM,52.043,M,52.043,M,52.043,M
gene_557,38,M,24.719,LM,24.719,LM,24.719,LM,24.719,LM,24.719,LM,12.102,L,24.719,LM,24.719,LM,24.719,LM,24.719,LM,24.719,LM
gene_558,30,M,23.17,LM,23.17,LM,23.17,LM,23.17,LM,23.17,LM,23.17,LM,23.17,LM,23.17,LM,74.215,MH,93.203,H,23.17,LM
gene_559,57,M,26.542,LM,65.593,M,26.542,LM,26.542,LM,73.387,MH,26.542,LM,26.542,LM,26.542,LM,48.315,M,26.542,LM,26.542,LM
gene_560,54,M,27.334,LM,97.306,H,8.937,L,27.334,LM,27.334,LM,27.334,LM,6.838,L,27.334,LM,27.334,LM,27.334,LM,27.334,LM
gene_561,30,M,17.19,L,68.664,M,17.19,L,17.19,L,17.19,L,17.19,L,17.19,L,17.19,L,17.19,L,75.778,MH,63.204,M
gene_562,41,M,23.107,LM,23.107,LM,23.107,LM,23.107,LM,23.107,LM,23.107,LM,23.107,LM,23.107,LM,23.107,LM,71.374,MH,81.069,H
gene_563,60,M,0.714,L,76.909,MH,0.714,L,77.446,MH,71.891,MH,0.714,L,37.907,M,24.235,LM,70.549,MH,0.714,L,0.714,L
gene_564,55,M,68.111,M,68.111,M,86.103,H,68.111,M,68.111,M,68.111,M,68.111,M,68.111,M,22.866,LM,68.111,M,11.801,L
gene_565,51,M,49.981,M,49.981,M,49.981,M,49.981,M,49.981,M,49.981,M,27.675,LM,71.449,MH,49.981,M,91.606,H,49.981,M
gene_566,36,M,70.693,MH,70.693,MH,70.693,MH,26.695,LM,70.693,MH,70.693,MH,70.693,MH,70.693,MH,3.488,L,54.583,M,99.992,H
gene_567,58,M,88.704,H,88.704,H,88.704,H,88.704,H,88.704,H,88.704,H,88.704,H,88.704,H,26.534,LM,88.704,H,88.704,H
gene_568,48,M,24.912,LM,24.912,LM,24.912,LM,75.141,MH,24.912,LM,39.209,M,24.912,LM,24.912,LM,24.912,LM,24.912,LM,24.912,LM
gene_569,57,M,21.005,LM,21.005,LM,73.644,MH,88.734,H,21.005,LM,72.56,MH,0.433,L,93.439,H,21.005,LM,21.005,LM,21.005,LM
gene_570,60,M,87.174,H,87.174,H,87.174,H,87.174,H,87.174,H,87.174,H,3.78,L,61.921,M,87.174,H,87.174,H,87.174,H
gene_571,39,M,3.417,L,3.417,L,3.417,L,3.417,L,3.417,L,3.417,L,3.417,L,3.417,L,3.417,L,3.417,L,3.417,L
gene_572,60,M,74.348,MH,74.348,MH,74.348,MH,94.731,H,74.348,MH,74.348,MH,74.348,MH,74.348,MH,74.348,MH,74.348,MH,74.348,MH
gene_573,41,M,17.993,L,17.993,L,17.993,L,17.993,L,77.207,MH,17.993,L,17.993,L,17.993,L,17.993,L,17.993,L,17.993,L
gene_574,69,M,92.958,H,24.552,LM,92.958,H,92.958,H,36.992,M,92.958,H,92.958,H,92.958,H,5.562,L,92.958,H,92.958,H
gene_575,34,M,75.89,MH,31.948,M,75.89,MH,75.89,MH,75.89,MH,75.89,MH,75.89,MH,22.335,LM,75.89,MH,75.89,MH,27.117,LM
gene_576,65,M,16.856,L,38.305,M,16.856,L,16.856,L,27.129,LM,73.584,MH,16.856,L,16.856,L,16.856,L,16.856,L,16.856,L
gene_577,31,M,16.097,L,21.264,LM,16.097,L,16.097,L,16.097,L,74.818,MH,16.097,L,63.647,M,16.097,L,16.097,L,16.097,L
gene_578,40,M,3.054,L,91.192,H,3.054,L,3.054,L,3.054,L,3.054,L,95.301,H,3.054,L,83.193,H,3.054,L,3.054,L
gene_579,51,M,94.776,H,94.776,H,94.776,H,94.776,H,94.776,H,94.776,H,94.776,H,94.776,H,94.776,H,94.776,H,94.776,H
gene_580,53,M,28.981,LM,28.981,LM,28.981,LM,28.981,LM,28.981,LM,28.981,LM,28.981,LM,28.981,LM,53.225,M,3.345,L,28.981,LM
gene_581,45,M,87.705,H,87.705,H,87.705,H,8.989,L,87.705,H,87.705,H,87.705,H,75.74,MH,87.705,H,87.705,H,87.705,H
gene_582,34,M,77.908,MH,77.908,MH,77.908,MH,77.908,MH,77.908,MH,8.025,L,77.908,MH,77.908,MH,77.908,MH,77.908,MH,77.908,MH
gene_583,40,M,28.223,LM,28.223,LM,28.223,LM,77.26,MH,28.223,LM,28.223,LM,28.223,LM,28.223,LM,28.223,LM,28.223,LM,28.223,LM
gene_584,41,M,18.977,L,92.328,H,18.977,L,28.553,LM,18.977,L,18.977,L,18.977,L,57.559,M,18.977,L,18.977,L,18.977,L
gene_585,60,M,28.785,LM,28.785,LM,28.785,LM,28.785,LM,78.432,MH,28.785,LM,28.785,LM,28.785,LM,28.785,LM,28.785,LM,28.785,LM
gene_586,66,M,73.975,MH,73.975,MH,73.975,MH,73.975,MH,28.71,LM,73.975,MH,25.15,LM,73.975,MH,73.975,MH,73.975,MH,73.975,MH
gene_587,53,M,28.805,LM,13.362,L,17.889,L,28.805,LM,28.805,LM,28.805,LM,28.805,LM,75.559,MH,28.805,LM,28.805,LM,28.805,LM
gene_588,31,M,27.787,LM,27.787,LM,27.787,LM,27.787,LM,0.282,L,27.787,LM,27.787,LM,27.787,LM,27.787,LM,27.787,LM,1.34,L
gene_589,61,M,24.612,LM,24.612,LM,18.874,L,74.375,MH,24.612,LM,24.612,LM,24.612,LM,2.963,L,24.612,LM,95.445,H,24.612,LM
gene_590,42,M,44.377,M,44.377,M,44.377,M,44.377,M,44.377,M,44.377,M,44.377,M,44.377,M,26.301,LM,44.377,M,44.377,M
gene_591,43,M,71.902,MH,71.902,MH,71.902,MH,71.902,MH,71.902,MH,71.902,MH,86.632,H,90.371,H,71.902,MH,71.902,MH,71.902,MH
gene_592,51,M,10.193,L,10.193,L,10.193,L,10.193,L,97.391,H,10.193,L,10.193,L,82.481,H,10.193,L,10.193,L,22.466,LM
gene_593,39,M,16.814,L,16.814,L,16.814,L,27.427,LM,35.365,M,16.814,L,24.947,LM,77.127,MH,16.814,L,16.814,L,16.814,L
gene_594,66,M,4.525,L,4.525,L,60.744,M,4.525,L,78.059,MH,4.525,L,4.525,L,4.525,L,4.525,L,4.525,L,4.525,L
gene_595,36,M,54.692,M,54.692,M,54.692,M,54.692,M,54.692,M,54.692,M,54.692,M,54.692,M,54.692,M,54.692,M,73.13,MH
gene_596,46,M,35.613,M,22.375,LM,35.613,M,35.613,M,35.613,M,35.613,M,35.613,M,35.613,M,35.613,M,35.613,M,9.03,L
gene_597,41,M,10.457,L,10.457,L,10.457,L,10.457,L,10.457,L,10.457,L,43.07,M,10.457,L,75.151,MH,10.457,L,10.457,L
gene_598,50,M,26.394,LM,26.394,LM,26.394,LM,26.394,LM,26.394,LM,26.394,LM,26.394,LM,26.394,LM,26.394,LM,26.394,LM,26.394,LM
gene_599,52,M,98.438,H,75.16,MH,98.438,H,98.438,H,98.438,H,61.9,M,73.16,MH,98.438,H,98.438,H,98.438,H,18.459,L
gene_600,55,M,26.226,LM,18.296,L,56.891,M,26.226,LM,26.226,LM,76.39,MH,26.226,LM,26.226,LM,76.735,MH,26.226,LM,18.396,L
gene_601,51,M,25.447,LM,25.447,LM,25.447,LM,25.447,LM,75.893,MH,56.752,M,25.447,LM,25.447,LM,89.869,H,53.893,M,25.447,LM
gene_602,46,M,1.687,L,1.687,L,1.687,L,82.631,H,1.687,L,1.687,L,1.687,L,1.687,L,73.852,MH,1.687,L,28.888,LM
gene_603,55,M,21.893,LM,75.284,MH,78.875,MH,21.893,LM,21.893,LM,21.893,LM,14.682,L,21.893,LM,11.753,L,21.893,LM,96.49,H
gene_604,46,M,49.958,M,49.958,M,49.958,M,49.958,M,49.958,M,49.958,M,80.784,H,70.187,MH,49.958,M,49.958,M,49.958,M
gene_605,61,M,45.862,M,45.862,M,86.985,H,45.862,M,45.862,M,45.862,M,45.862,M,45.862,M,45.862,M,45.862,M,77.25,MH
gene_606,61,M,0.823,L,0.823,L,0.823,L,0.823,L,0.823,L,0.823,L,0.823,L,0.823,L,0.823,L,0.823,L,0.823,L
gene_607,41,M,11.474,L,11.474,L,11.474,L,44.495,M,11.474,L,11.474,L,11.474,L,11.474,L,11.474,L,11.474,L,11.474,L
gene_608,44,M,91.144,H,91.144,H,91.144,H,91.144,H,27.999,LM,91.144,H,91.144,H,24.508,LM,26.175,LM,91.144,H,91.144,H
gene_609,55,M,90.029,H,77.57,MH,90.029,H,26.412,LM,90.029,H,90.029,H,50.088,M,90.029,H,90.029,H,90.029,H,90.029,H
gene_610,36,M,7.976,L,7.976,L,7.976,L,39.07,M,7.976,L,7.976,L,7.976,L,7.976,L,7.976,L,7.976,L,7.976,L
gene_611,57,M,56.275,M,56.275,M,56.275,M,56.275,M,25.375,LM,56.275,M,56.275,M,74.162,MH,27.102,LM,56.275,M,18.147,L
gene_612,45,M,16.599,L,16.599,L,16.599,L,16.599,L,72.156,MH,16.599,L,16.599,L,16.599,L,16.599,L,16.599,L,16.599,L
gene_613,53,M,63.673,M,63.673,M,75.639,MH,63.673,M,63.673,M,63.673,M,63.673,M,63.673,M,63.673,M,63.673,M,63.673,M
gene_614,35,M,81.174,H,81.174,H,7.014,L,40.76,M,81.174,H,72.984,MH,81.174,H,81.174,H,81.174,H,81.174,H,81.174,H
gene_615,56,M,14.495,L,14.495,L,14.495,L,14.495,L,14.495,L,14.495,L,53.907,M,77.511,MH,14.495,L,14.495,L,27.03,LM
gene_616,44,M,25.029,LM,25.029,LM,25.029,LM,25.029,LM,25.029,LM,42.289,M,89.285,H,25.029,LM,41.522,M,25.029,LM,25.029,LM
gene_617,48,M,65.064,M,86.203,H,65.064,M,65.064,M,65.064,M,65.064,M,65.064,M,3.16,L,65.064,M,65.064,M,65.064,M
gene_618,46,M,9.153,L,9.153,L,9.153,L,9.153,L,73.525,MH,9.153,L,9.153,L,9.153,L,98.66,H,9.153,L,41.83,M
gene_619,49,M,76.088,MH,76.088,MH,64.329,M,76.088,MH,15.326,L,76.088,MH,76.088,MH,96.407,H,76.088,MH,76.088,MH,33.402,M
gene_620,57,M,18.915,L,18.915,L,18.915,L,18.915,L,18.915,L,18.915,L,18.915,L,18.915,L,18.915,L,18.915,L,18.915,L
gene_621,42,M,1.734,L,1.734,L,1.734,L,1.734,L,71.016,MH,1.734,L,74.77,MH,28.952,LM,1.734,L,70.447,MH,71.554,MH
gene_622,56,M,16.236,L,27.715,LM,16.236,L,68.027,M,80.883,H,16.236,L,16.236,L,16.236,L,16.236,L,16.236,L,16.236,L
gene_623,32,M,22.978,LM,22.978,LM,22.978,LM,22.978,LM,17.924,L,77.688,MH,22.978,LM,22.978,LM,22.978,LM,17.893,L,22.978,LM
gene_624,42,M,11.336,L,11.336,L,11.336,L,11.336,L,11.336,L,11.336,L,77.646,MH,24.156,LM,11.336,L,11.336,L,87.155,H
gene_625,59,M,91.27,H,91.27,H,91.27,H,91.27,H,91.27,H,91.27,H,91.27,H,91.27,H,91.27,H,91.27,H,74.745,MH
gene_626,32,M,95.774,H,7.626,L,95.774,H,42.402,M,95.774,H,95.774,H,95.774,H,95.774,H,1.358,L,95.774,H,95.774,H
gene_627,54,M,13.872,L,13.872,L,97.962,H,13.872,L,77.585,MH,13.872,L,13.872,L,13.872,L,72.934,MH,13.872,L,13.872,L
gene_628,31,M,91.762,H,91.762,H,91.762,H,91.762,H,91.762,H,91.762,H,91.762,H,91.762,H,6.571,L,91.762,H,91.762,H
gene_629,48,M,35.007,M,35.007,M,35.007,M,35.007,M,3.897,L,35.007,M,35.007,M,35.007,M,35.007,M,35.007,M,21.153,LM
gene_630,65,M,17.904,L,17.904,L,17.904,L,17.904,L,27.031,LM,17.904,L,17.904,L,17.904,L,17.904,L,17.904,L,17.904,L
gene_631,30,M,10.093,L,10.093,L,10.093,L,10.093,L,75.928,MH,10.093,L,10.093,L,10.093,L,10.093,L,10.093,L,10.093,L
gene_632,51,M,3.759,L,3.759,L,3.759,L,3.759,L,25.893,LM,3.759,L,76.616,MH,3.759,L,3.759,L,3.759,L,3.759,L
gene_633,32,M,78.178,MH,78.178,MH,34.119,M,78.178,MH,78.178,MH,78.178,MH,78.178,MH,78.178,MH,78.178,MH,78.178,MH,78.178,MH
gene_634,64,M,22.034,LM,22.034,LM,22.034,LM,13.409,L,22.034,LM,22.034,LM,22.034,LM,22.034,LM,72.814,MH,22.034,LM,22.034,LM
gene_635,57,M,84.566,H,84.566,H,84.566,H,84.566,H,51.012,M,84.566,H,84.566,H,4.945,L,84.566,H,84.566,H,84.566,H
gene_636,59,M,22.731,LM,73.465,MH,22.731,LM,22.731,LM,22.731,LM,82.758,H,42.294,M,15.678,L,22.731,LM,70.406,MH,13.661,L
gene_637,56,M,5.155,L,5.155,L,5.155,L,5.155,L,5.155,L,5.155,L,5.155,L,5.155,L,5.155,L,21.77,LM,5.155,L
gene_638,30,M,97.964,H,97.964,H,74.887,MH,97.964,H,97.964,H,97.964,H,54.317,M,97.964,H,97.964,H,97.964,H,97.964,H
gene_639,31,M,28.767,LM,28.767,LM,28.767,LM,28.767,LM,28.767,LM,28.767,LM,28.767,LM,28.767,LM,28.767,LM,93.817,H,28.767,LM
gene_640,54,M,77.833,MH,77.833,MH,77.833,MH,77.833,MH,77.833,MH,77.833,MH,77.833,MH,77.833,MH,77.833,MH,77.833,MH,1.575,L
gene_641,69,M,90.756,H,90.756,H,90.756,H,48.812,M,90.756,H,90.756,H,90.756,H,76.889,MH,61.786,M,90.756,H,21.887,LM
gene_642,64,M,21.136,LM,21.136,LM,21.136,LM,21.136,LM,21.136,LM,21.136,LM,65.728,M,8.079,L,21.136,LM,21.136,LM,21.136,LM
gene_643,57,M,5.146,L,28.714,LM,5.146,L,5.146,L,5.146,L,82.432,H,5.146,L,5.146,L,5.146,L,5.146,L,5.146,L
gene_644,59,M,13.289,L,13.289,L,13.289,L,13.289,L,13.289,L,31.922,M,93.729,H,13.289,L,13.289,L,13.289,L,13.289,L
gene_645,39,M,16.463,L,16.463,L,16.463,L,16.463,L,96.029,H,16.463,L,71.612,MH,16.463,L,16.463,L,16.463,L,70.147,MH
gene_646,60,M,13.993,L,76.184,MH,13.993,L,13.993,L,13.993,L,87.579,H,13.993,L,13.993,L,78.078,MH,13.993,L,13.993,L
gene_647,41,M,82.869,H,82.869,H,82.869,H,82.869,H,2.476,L,82.869,H,82.869,H,22.15,LM,82.869,H,82.869,H,82.869,H
gene_648,34,M,75.197,MH,85.02,H,75.197,MH,37.896,M,49.115,M,75.197,MH,96.558,H,75.197,MH,75.197,MH,75.197,MH,75.197,MH
gene_649,48,M,82.543,H,6.316,L,82.543,H,82.543,H,82.543,H,82.543,H,82.543,H,82.543,H,70.161,MH,82.543,H,78.477,MH
gene_650,43,M,20.37,LM,93.406,H,55.108,M,20.37,LM,20.37,LM,20.37,LM,64.499,M,20.37,LM,20.37,LM,1.444,L,20.37,LM
gene_651,36,M,38.58,M,38.58,M,38.58,M,88.065,H,38.58,M,38.58,M,13.773,L,38.58,M,38.58,M,38.58,M,18.031,L
gene_652,46,M,72.849,MH,72.849,MH,72.849,MH,72.849,MH,72.849,MH,72.849,MH,72.849,MH,72.849,MH,72.849,MH,72.849,MH,10.985,L
gene_653,65,M,4.397,L,4.397,L,4.397,L,4.397,L,4.397,L,4.397,L,4.397,L,4.397,L,4.397,L,4.397,L,82.975,H
gene_654,47,M,26.606,LM,26.606,LM,26.606,LM,95.417,H,26.606,LM,26.606,LM,26.606,LM,26.606,LM,26.606,LM,26.606,LM,26.606,LM
gene_655,47,M,21.699,LM,21.699,LM,1.861,L,21.699,LM,21.699,LM,21.699,LM,21.699,LM,21.699,LM,21.699,LM,21.699,LM,45.891,M
gene_656,58,M,40.614,M,26.821,LM,20.017,LM,82.748,H,40.614,M,28.148,LM,40.614,M,40.614,M,40.614,M,80.198,H,27.718,LM
gene_657,50,M,28.721,LM,28.721,LM,28.721,LM,28.721,LM,28.721,LM,28.721,LM,28.721,LM,28.721,LM,28.721,LM,1.641,L,76.929,MH
gene_658,35,M,74.971,MH,74.971,MH,74.971,MH,17.821,L,74.971,MH,74.971,MH,74.971,MH,74.971,MH,74.971,MH,74.971,MH,27.343,LM
gene_659,66,M,87.511,H,77.462,MH,87.511,H,8.67,L,87.511,H,87.511,H,87.511,H,87.511,H,70.232,MH,87.511,H,17.969,L
gene_660,47,M,17.261,L,17.261,L,99.105,H,17.261,L,17.261,L,17.261,L,17.261,L,17.261,L,78.399,MH,17.261,L,17.261,L
gene_661,61,M,97.051,H,36.778,M,97.051,H,97.051,H,97.051,H,75.091,MH,97.051,H,97.051,H,97.051,H,97.051,H,97.051,H
gene_662,45,M,17.441,L,17.441,L,17.441,L,17.441,L,17.441,L,77.307,MH,37.862,M,17.441,L,17.441,L,17.441,L,17.441,L
gene_663,62,M,23.803,LM,23.803,LM,16.853,L,23.803,LM,23.803,LM,23.803,LM,23.803,LM,23.803,LM,23.803,LM,23.803,LM,23.803,LM
gene_664,45,M,10.187,L,10.187,L,10.187,L,10.187,L,10.187,L,10.187,L,10.187,L,10.187,L,78.203,MH,27.904,LM,10.187,L
gene_665,38,M,3.375,L,83.155,H,53.107,M,73.725,MH,3.375,L,3.375,L,74.153,MH,3.375,L,26.558,LM,82.06,H,72.353,MH
gene_666,37,M,88.81,H,88.81,H,88.81,H,88.81,H,88.81,H,88.81,H,88.81,H,88.81,H,88.81,H,88.81,H,28.448,LM
gene_667,67,M,49.963,M,49.963,M,26.175,LM,72.109,MH,49.963,M,90.15,H,49.963,M,49.963,M,49.963,M,49.963,M,49.963,M
gene_668,53,M,63.641,M,63.641,M,63.641,M,63.641,M,63.641,M,63.641,M,63.641,M,63.641,M,63.641,M,63.641,M,63.641,M
gene_669,31,M,7.295,L,88.904,H,96.151,H,7.295,L,7.295,L,7.295,L,7.295,L,7.295,L,7.295,L,84.237,H,7.295,L
gene_670,45,M,94.197,H,94.197,H,94.197,H,94.197,H,94.197,H,94.197,H,7.522,L,94.197,H,76.787,MH,94.197,H,94.197,H
gene_671,39,M,21.368,LM,21.368,LM,21.368,LM,21.368,LM,14.103,L,21.368,LM,21.368,LM,21.368,LM,21.368,LM,21.368,LM,21.368,LM
gene_672,33,M,92.334,H,42.653,M,92.334,H,48.898,M,92.334,H,16.33,L,92.334,H,92.334,H,13.471,L,40.128,M,92.334,H
gene_673,37,M,25.179,LM,25.179,LM,25.179,LM,25.179,LM,25.179,LM,25.179,LM,25.179,LM,25.179,LM,25.179,LM,70.101,MH,25.179,LM
gene_674,32,M,24.218,LM,24.218,LM,24.218,LM,24.218,LM,24.218,LM,2.854,L,73.517,MH,24.218,LM,24.218,LM,24.218,LM,81.185,H
gene_675,55,M,33.421,M,33.421,M,33.421,M,84.534,H,33.421,M,77.322,MH,33.421,M,33.421,M,33.421,M,33.421,M,33.421,M
gene_676,36,M,21.094,LM,21.094,LM,21.094,LM,21.094,LM,21.094,LM,80.219,H,11.875,L,21.094,LM,21.094,LM,21.094,LM,21.094,LM
gene_677,54,M,26.745,LM,26.745,LM,10.989,L,48.896,M,26.745,LM,1.5,L,26.745,LM,26.745,LM,12.285,L,72.566,MH,26.745,LM
gene_678,54,M,71.814,MH,71.814,MH,28.708,LM,71.814,MH,71.814,MH,71.814,MH,71.814,MH,71.814,MH,71.814,MH,71.814,MH,11.2,L
gene_679,58,M,75.387,MH,75.387,MH,75.387,MH,75.387,MH,17.294,L,75.387,MH,97.698,H,57.942,M,85.133,H,20.11,LM,75.387,MH
gene_680,50,M,27.988,LM,27.988,LM,27.988,LM,81.24,H,6.627,L,27.988,LM,27.988,LM,27.988,LM,27.988,LM,77.621,MH,27.988,LM
gene_681,41,M,24.731,LM,24.731,LM,0.575,L,24.731,LM,24.731,LM,24.731,LM,24.731,LM,24.731,LM,24.731,LM,56.972,M,24.731,LM
gene_682,65,M,70.818,MH,70.818,MH,70.818,MH,70.818,MH,70.818,MH,70.818,MH,70.818,MH,70.818,MH,70.818,MH,70.818,MH,99.496,H
gene_683,44,M,1.893,L,88.462,H,61.933,M,71.845,MH,27.98,LM,75.536,MH,1.893,L,1.893,L,1.893,L,1.893,L,1.893,L
gene_684,48,M,83.906,H,83.906,H,25.047,LM,83.906,H,83.906,H,83.906,H,70.84,MH,83.906,H,83.906,H,12.614,L,83.906,H
gene_685,55,M,25.751,LM,25.751,LM,25.751,LM,92.14,H,25.751,LM,25.751,LM,25.751,LM,25.751,LM,25.751,LM,25.751,LM,71.268,MH
gene_686,50,M,23.554,LM,23.554,LM,23.554,LM,23.554,LM,23.554,LM,23.554,LM,23.554,LM,48.484,M,83.6,H,23.554,LM,23.554,LM
gene_687,68,M,22.359,LM,74.335,MH,77.101,MH,22.359,LM,7.12,L,22.359,LM,22.359,LM,22.359,LM,22.359,LM,22.359,LM,22.359,LM
gene_688,68,M,12.161,L,12.161,L,95.527,H,12.161,L,12.161,L,12.161,L,12.161,L,12.161,L,12.161,L,12.161,L,44.643,M
gene_689,67,M,20.26,LM,20.26,LM,20.26,LM,20.26,LM,20.26,LM,20.26,LM,20.26,LM,94.713,H,59.582,M,82.659,H,20.26,LM
gene_690,67,M,59.986,M,90.399,H,59.986,M,59.986,M,99.811,H,59.986,M,25.108,LM,3.392,L,59.986,M,6.671,L,59.986,M
gene_691,53,M,75.8,MH,75.8,MH,75.8,MH,42.728,M,75.8,MH,75.8,MH,75.8,MH,75.8,MH,95.093,H,75.8,MH,75.8,MH
gene_692,49,M,8.37,L,8.37,L,27.404,LM,78.078,MH,8.37,L,8.37,L,82.481,H,8.37,L,8.37,L,8.37,L,8.37,L
gene_693,58,M,21.908,LM,21.908,LM,21.908,LM,21.908,LM,21.908,LM,21.908,LM,85.312,H,21.908,LM,75.136,MH,21.908,LM,21.908,LM
gene_694,38,M,84.732,H,84.732,H,54.448,M,84.732,H,27.585,LM,84.732,H,84.732,H,84.732,H,84.732,H,84.732,H,84.732,H
